Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2016 inflation-adjusted dollars)
0500000US01001,1001,"Autauga County, Alabama",26168,1221
0500000US01003,1003,"Baldwin County, Alabama",28069,733
0500000US01005,1005,"Barbour County, Alabama",17249,822
0500000US01007,1007,"Bibb County, Alabama",18988,1773
0500000US01009,1009,"Blount County, Alabama",21033,689
0500000US01011,1011,"Bullock County, Alabama",17909,1671
0500000US01013,1013,"Butler County, Alabama",19011,847
0500000US01015,1015,"Calhoun County, Alabama",22231,669
0500000US01017,1017,"Chambers County, Alabama",21532,1399
0500000US01019,1019,"Cherokee County, Alabama",22544,1403
0500000US01021,1021,"Chilton County, Alabama",22045,1469
0500000US01023,1023,"Choctaw County, Alabama",20773,1304
0500000US01025,1025,"Clarke County, Alabama",20543,1212
0500000US01027,1027,"Clay County, Alabama",21115,1809
0500000US01029,1029,"Cleburne County, Alabama",19791,1180
0500000US01031,1031,"Coffee County, Alabama",25325,939
0500000US01033,1033,"Colbert County, Alabama",23318,854
0500000US01035,1035,"Conecuh County, Alabama",16004,1039
0500000US01037,1037,"Coosa County, Alabama",18080,1507
0500000US01039,1039,"Covington County, Alabama",21738,826
0500000US01041,1041,"Crenshaw County, Alabama",20455,1001
0500000US01043,1043,"Cullman County, Alabama",21041,734
0500000US01045,1045,"Dale County, Alabama",22834,783
0500000US01047,1047,"Dallas County, Alabama",17611,795
0500000US01049,1049,"DeKalb County, Alabama",18685,609
0500000US01051,1051,"Elmore County, Alabama",24771,1013
0500000US01053,1053,"Escambia County, Alabama",17420,1026
0500000US01055,1055,"Etowah County, Alabama",21287,489
0500000US01057,1057,"Fayette County, Alabama",20201,1081
0500000US01059,1059,"Franklin County, Alabama",18193,1099
0500000US01061,1061,"Geneva County, Alabama",20189,1085
0500000US01063,1063,"Greene County, Alabama",13679,1116
0500000US01065,1065,"Hale County, Alabama",19296,1454
0500000US01067,1067,"Henry County, Alabama",22825,1459
0500000US01069,1069,"Houston County, Alabama",24086,443
0500000US01071,1071,"Jackson County, Alabama",20487,892
0500000US01073,1073,"Jefferson County, Alabama",28162,452
0500000US01075,1075,"Lamar County, Alabama",20206,2122
0500000US01077,1077,"Lauderdale County, Alabama",24893,872
0500000US01079,1079,"Lawrence County, Alabama",21911,1055
0500000US01081,1081,"Lee County, Alabama",24951,841
0500000US01083,1083,"Limestone County, Alabama",26086,1006
0500000US01085,1085,"Lowndes County, Alabama",18434,2489
0500000US01087,1087,"Macon County, Alabama",18385,887
0500000US01089,1089,"Madison County, Alabama",33264,632
0500000US01091,1091,"Marengo County, Alabama",20359,1333
0500000US01093,1093,"Marion County, Alabama",20998,1030
0500000US01095,1095,"Marshall County, Alabama",21767,706
0500000US01097,1097,"Mobile County, Alabama",23318,417
0500000US01099,1099,"Monroe County, Alabama",16556,1148
0500000US01101,1101,"Montgomery County, Alabama",26255,595
0500000US01103,1103,"Morgan County, Alabama",24415,723
0500000US01105,1105,"Perry County, Alabama",14033,1818
0500000US01107,1107,"Pickens County, Alabama",19188,937
0500000US01109,1109,"Pike County, Alabama",20180,1611
0500000US01111,1111,"Randolph County, Alabama",19584,1298
0500000US01113,1113,"Russell County, Alabama",20760,887
0500000US01115,1115,"St. Clair County, Alabama",24474,1105
0500000US01117,1117,"Shelby County, Alabama",34117,679
0500000US01119,1119,"Sumter County, Alabama",13929,974
0500000US01121,1121,"Talladega County, Alabama",20430,676
0500000US01123,1123,"Tallapoosa County, Alabama",21410,918
0500000US01125,1125,"Tuscaloosa County, Alabama",23896,601
0500000US01127,1127,"Walker County, Alabama",20410,814
0500000US01129,1129,"Washington County, Alabama",19598,1250
0500000US01131,1131,"Wilcox County, Alabama",14800,1160
0500000US01133,1133,"Winston County, Alabama",19299,997
0500000US02013,2013,"Aleutians East Borough, Alaska",31025,2056
0500000US02016,2016,"Aleutians West Census Area, Alaska",35083,2600
0500000US02020,2020,"Anchorage Municipality, Alaska",37864,648
0500000US02050,2050,"Bethel Census Area, Alaska",18231,1051
0500000US02060,2060,"Bristol Bay Borough, Alaska",41420,3527
0500000US02068,2068,"Denali Borough, Alaska",38337,4681
0500000US02070,2070,"Dillingham Census Area, Alaska",23520,1368
0500000US02090,2090,"Fairbanks North Star Borough, Alaska",34182,1172
0500000US02100,2100,"Haines Borough, Alaska",32673,4828
0500000US02105,2105,"Hoonah-Angoon Census Area, Alaska",31451,4574
0500000US02110,2110,"Juneau City and Borough, Alaska",40592,2531
0500000US02122,2122,"Kenai Peninsula Borough, Alaska",32556,1153
0500000US02130,2130,"Ketchikan Gateway Borough, Alaska",32694,1248
0500000US02150,2150,"Kodiak Island Borough, Alaska",32066,2279
0500000US02158,2158,"Kusilvak Census Area, Alaska",11701,1089
0500000US02164,2164,"Lake and Peninsula Borough, Alaska",22684,2927
0500000US02170,2170,"Matanuska-Susitna Borough, Alaska",30078,608
0500000US02180,2180,"Nome Census Area, Alaska",20033,954
0500000US02185,2185,"North Slope Borough, Alaska",49982,3516
0500000US02188,2188,"Northwest Arctic Borough, Alaska",21028,833
0500000US02195,2195,"Petersburg Borough, Alaska",34788,2686
0500000US02198,2198,"Prince of Wales-Hyder Census Area, Alaska",25564,1371
0500000US02220,2220,"Sitka City and Borough, Alaska",35655,2066
0500000US02230,2230,"Skagway Municipality, Alaska",39412,3504
0500000US02240,2240,"Southeast Fairbanks Census Area, Alaska",30757,2209
0500000US02261,2261,"Valdez-Cordova Census Area, Alaska",35457,2567
0500000US02275,2275,"Wrangell City and Borough, Alaska",29782,2162
0500000US02282,2282,"Yakutat City and Borough, Alaska",31084,4390
0500000US02290,2290,"Yukon-Koyukuk Census Area, Alaska",20812,915
0500000US04001,4001,"Apache County, Arizona",13428,521
0500000US04003,4003,"Cochise County, Arizona",23757,676
0500000US04005,4005,"Coconino County, Arizona",24711,805
0500000US04007,4007,"Gila County, Arizona",21470,918
0500000US04009,4009,"Graham County, Arizona",17710,1064
0500000US04011,4011,"Greenlee County, Arizona",23778,1998
0500000US04012,4012,"La Paz County, Arizona",21447,1458
0500000US04013,4013,"Maricopa County, Arizona",28791,176
0500000US04015,4015,"Mohave County, Arizona",22026,576
0500000US04017,4017,"Navajo County, Arizona",16564,483
0500000US04019,4019,"Pima County, Arizona",26204,246
0500000US04021,4021,"Pinal County, Arizona",21982,407
0500000US04023,4023,"Santa Cruz County, Arizona",18860,1364
0500000US04025,4025,"Yavapai County, Arizona",26584,653
0500000US04027,4027,"Yuma County, Arizona",19483,396
0500000US05001,5001,"Arkansas County, Arkansas",23287,1464
0500000US05003,5003,"Ashley County, Arkansas",20290,1312
0500000US05005,5005,"Baxter County, Arkansas",23068,1242
0500000US05007,5007,"Benton County, Arkansas",28996,563
0500000US05009,5009,"Boone County, Arkansas",21719,1113
0500000US05011,5011,"Bradley County, Arkansas",20465,1514
0500000US05013,5013,"Calhoun County, Arkansas",21093,2188
0500000US05015,5015,"Carroll County, Arkansas",20888,1258
0500000US05017,5017,"Chicot County, Arkansas",18853,2657
0500000US05019,5019,"Clark County, Arkansas",19500,903
0500000US05021,5021,"Clay County, Arkansas",19192,960
0500000US05023,5023,"Cleburne County, Arkansas",25078,1525
0500000US05025,5025,"Cleveland County, Arkansas",21485,1324
0500000US05027,5027,"Columbia County, Arkansas",19922,965
0500000US05029,5029,"Conway County, Arkansas",21896,1102
0500000US05031,5031,"Craighead County, Arkansas",24226,1050
0500000US05033,5033,"Crawford County, Arkansas",20889,939
0500000US05035,5035,"Crittenden County, Arkansas",20133,677
0500000US05037,5037,"Cross County, Arkansas",20692,1269
0500000US05039,5039,"Dallas County, Arkansas",17803,1153
0500000US05041,5041,"Desha County, Arkansas",17324,1670
0500000US05043,5043,"Drew County, Arkansas",18373,1301
0500000US05045,5045,"Faulkner County, Arkansas",24809,835
0500000US05047,5047,"Franklin County, Arkansas",19811,1083
0500000US05049,5049,"Fulton County, Arkansas",19082,1353
0500000US05051,5051,"Garland County, Arkansas",24602,1031
0500000US05053,5053,"Grant County, Arkansas",24696,2268
0500000US05055,5055,"Greene County, Arkansas",21643,876
0500000US05057,5057,"Hempstead County, Arkansas",17813,1146
0500000US05059,5059,"Hot Spring County, Arkansas",20522,1440
0500000US05061,5061,"Howard County, Arkansas",22587,2299
0500000US05063,5063,"Independence County, Arkansas",22035,1138
0500000US05065,5065,"Izard County, Arkansas",18964,1295
0500000US05067,5067,"Jackson County, Arkansas",18316,2030
0500000US05069,5069,"Jefferson County, Arkansas",19691,685
0500000US05071,5071,"Johnson County, Arkansas",18871,1633
0500000US05073,5073,"Lafayette County, Arkansas",24171,3585
0500000US05075,5075,"Lawrence County, Arkansas",18010,816
0500000US05077,5077,"Lee County, Arkansas",14292,1227
0500000US05079,5079,"Lincoln County, Arkansas",12610,1909
0500000US05081,5081,"Little River County, Arkansas",20237,1308
0500000US05083,5083,"Logan County, Arkansas",20340,1186
0500000US05085,5085,"Lonoke County, Arkansas",24501,671
0500000US05087,5087,"Madison County, Arkansas",22637,1857
0500000US05089,5089,"Marion County, Arkansas",18706,1069
0500000US05091,5091,"Miller County, Arkansas",21217,819
0500000US05093,5093,"Mississippi County, Arkansas",19159,755
0500000US05095,5095,"Monroe County, Arkansas",19849,1565
0500000US05097,5097,"Montgomery County, Arkansas",20375,1468
0500000US05099,5099,"Nevada County, Arkansas",17595,1587
0500000US05101,5101,"Newton County, Arkansas",17790,1511
0500000US05103,5103,"Ouachita County, Arkansas",20033,1009
0500000US05105,5105,"Perry County, Arkansas",22474,2684
0500000US05107,5107,"Phillips County, Arkansas",16684,997
0500000US05109,5109,"Pike County, Arkansas",19686,1277
0500000US05111,5111,"Poinsett County, Arkansas",17710,770
0500000US05113,5113,"Polk County, Arkansas",18097,1018
0500000US05115,5115,"Pope County, Arkansas",20912,792
0500000US05117,5117,"Prairie County, Arkansas",21035,1249
0500000US05119,5119,"Pulaski County, Arkansas",28421,464
0500000US05121,5121,"Randolph County, Arkansas",20059,1482
0500000US05123,5123,"St. Francis County, Arkansas",16540,1218
0500000US05125,5125,"Saline County, Arkansas",26963,542
0500000US05127,5127,"Scott County, Arkansas",17934,1625
0500000US05129,5129,"Searcy County, Arkansas",20618,2141
0500000US05131,5131,"Sebastian County, Arkansas",23383,855
0500000US05133,5133,"Sevier County, Arkansas",17458,765
0500000US05135,5135,"Sharp County, Arkansas",19404,3030
0500000US05137,5137,"Stone County, Arkansas",19616,1865
0500000US05139,5139,"Union County, Arkansas",22240,1008
0500000US05141,5141,"Van Buren County, Arkansas",19883,1286
0500000US05143,5143,"Washington County, Arkansas",25249,707
0500000US05145,5145,"White County, Arkansas",22510,1137
0500000US05147,5147,"Woodruff County, Arkansas",18382,1481
0500000US05149,5149,"Yell County, Arkansas",18981,904
0500000US06001,6001,"Alameda County, California",39042,316
0500000US06003,6003,"Alpine County, California",26783,5636
0500000US06005,6005,"Amador County, California",27496,1320
0500000US06007,6007,"Butte County, California",25077,550
0500000US06009,6009,"Calaveras County, California",30577,1558
0500000US06011,6011,"Colusa County, California",25745,2444
0500000US06013,6013,"Contra Costa County, California",40792,386
0500000US06015,6015,"Del Norte County, California",20282,1417
0500000US06017,6017,"El Dorado County, California",37089,897
0500000US06019,6019,"Fresno County, California",21057,229
0500000US06021,6021,"Glenn County, California",20362,1354
0500000US06023,6023,"Humboldt County, California",24038,691
0500000US06025,6025,"Imperial County, California",16311,408
0500000US06027,6027,"Inyo County, California",28678,1256
0500000US06029,6029,"Kern County, California",21094,279
0500000US06031,6031,"Kings County, California",19123,626
0500000US06033,6033,"Lake County, California",21799,952
0500000US06035,6035,"Lassen County, California",20072,889
0500000US06037,6037,"Los Angeles County, California",29301,147
0500000US06039,6039,"Madera County, California",19021,645
0500000US06041,6041,"Marin County, California",63608,1474
0500000US06043,6043,"Mariposa County, California",27832,1689
0500000US06045,6045,"Mendocino County, California",25278,1089
0500000US06047,6047,"Merced County, California",19130,415
0500000US06049,6049,"Modoc County, California",21899,1504
0500000US06051,6051,"Mono County, California",31059,2419
0500000US06053,6053,"Monterey County, California",25947,488
0500000US06055,6055,"Napa County, California",38057,1018
0500000US06057,6057,"Nevada County, California",33385,1361
0500000US06059,6059,"Orange County, California",35939,250
0500000US06061,6061,"Placer County, California",37914,608
0500000US06063,6063,"Plumas County, California",31292,2464
0500000US06065,6065,"Riverside County, California",24443,164
0500000US06067,6067,"Sacramento County, California",28292,271
0500000US06069,6069,"San Benito County, California",27848,910
0500000US06071,6071,"San Bernardino County, California",21857,192
0500000US06073,6073,"San Diego County, California",32482,192
0500000US06075,6075,"San Francisco County, California",55567,795
0500000US06077,6077,"San Joaquin County, California",23477,300
0500000US06079,6079,"San Luis Obispo County, California",32335,644
0500000US06081,6081,"San Mateo County, California",50262,575
0500000US06083,6083,"Santa Barbara County, California",31098,527
0500000US06085,6085,"Santa Clara County, California",46034,340
0500000US06087,6087,"Santa Cruz County, California",34732,688
0500000US06089,6089,"Shasta County, California",25094,567
0500000US06091,6091,"Sierra County, California",31873,5255
0500000US06093,6093,"Siskiyou County, California",23542,835
0500000US06095,6095,"Solano County, California",30251,435
0500000US06097,6097,"Sonoma County, California",35639,506
0500000US06099,6099,"Stanislaus County, California",22915,372
0500000US06101,6101,"Sutter County, California",24335,747
0500000US06103,6103,"Tehama County, California",21521,887
0500000US06105,6105,"Trinity County, California",22387,1450
0500000US06107,6107,"Tulare County, California",18257,372
0500000US06109,6109,"Tuolumne County, California",29431,1815
0500000US06111,6111,"Ventura County, California",34331,407
0500000US06113,6113,"Yolo County, California",28996,564
0500000US06115,6115,"Yuba County, California",21418,909
0500000US08001,8001,"Adams County, Colorado",26051,289
0500000US08003,8003,"Alamosa County, Colorado",18133,1471
0500000US08005,8005,"Arapahoe County, Colorado",35250,384
0500000US08007,8007,"Archuleta County, Colorado",28649,1904
0500000US08009,8009,"Baca County, Colorado",22113,1533
0500000US08011,8011,"Bent County, Colorado",13772,2102
0500000US08013,8013,"Boulder County, Colorado",40097,784
0500000US08014,8014,"Broomfield County, Colorado",41698,1496
0500000US08015,8015,"Chaffee County, Colorado",27848,1983
0500000US08017,8017,"Cheyenne County, Colorado",23916,2280
0500000US08019,8019,"Clear Creek County, Colorado",42355,5079
0500000US08021,8021,"Conejos County, Colorado",18221,1540
0500000US08023,8023,"Costilla County, Colorado",20238,2688
0500000US08025,8025,"Crowley County, Colorado",12513,2019
0500000US08027,8027,"Custer County, Colorado",22333,2889
0500000US08029,8029,"Delta County, Colorado",24261,1603
0500000US08031,8031,"Denver County, Colorado",36616,412
0500000US08033,8033,"Dolores County, Colorado",21112,2506
0500000US08035,8035,"Douglas County, Colorado",47062,801
0500000US08037,8037,"Eagle County, Colorado",38604,2122
0500000US08039,8039,"Elbert County, Colorado",39360,2121
0500000US08041,8041,"El Paso County, Colorado",30261,394
0500000US08043,8043,"Fremont County, Colorado",19427,1041
0500000US08045,8045,"Garfield County, Colorado",29179,1135
0500000US08047,8047,"Gilpin County, Colorado",37027,5229
0500000US08049,8049,"Grand County, Colorado",32348,2125
0500000US08051,8051,"Gunnison County, Colorado",25920,1252
0500000US08053,8053,"Hinsdale County, Colorado",29958,4830
0500000US08055,8055,"Huerfano County, Colorado",25062,2462
0500000US08057,8057,"Jackson County, Colorado",26798,4348
0500000US08059,8059,"Jefferson County, Colorado",38367,435
0500000US08061,8061,"Kiowa County, Colorado",21602,2419
0500000US08063,8063,"Kit Carson County, Colorado",24327,4320
0500000US08065,8065,"Lake County, Colorado",26693,3221
0500000US08067,8067,"La Plata County, Colorado",32953,1328
0500000US08069,8069,"Larimer County, Colorado",32433,575
0500000US08071,8071,"Las Animas County, Colorado",23857,1499
0500000US08073,8073,"Lincoln County, Colorado",14210,7795
0500000US08075,8075,"Logan County, Colorado",23692,1482
0500000US08077,8077,"Mesa County, Colorado",26731,679
0500000US08079,8079,"Mineral County, Colorado",35041,4983
0500000US08081,8081,"Moffat County, Colorado",26344,1929
0500000US08083,8083,"Montezuma County, Colorado",22738,873
0500000US08085,8085,"Montrose County, Colorado",23276,886
0500000US08087,8087,"Morgan County, Colorado",23408,1219
0500000US08089,8089,"Otero County, Colorado",19842,1234
0500000US08091,8091,"Ouray County, Colorado",34993,2908
0500000US08093,8093,"Park County, Colorado",34442,2210
0500000US08095,8095,"Phillips County, Colorado",26290,3299
0500000US08097,8097,"Pitkin County, Colorado",59229,9750
0500000US08099,8099,"Prowers County, Colorado",20589,1190
0500000US08101,8101,"Pueblo County, Colorado",22431,506
0500000US08103,8103,"Rio Blanco County, Colorado",27419,2175
0500000US08105,8105,"Rio Grande County, Colorado",22918,2028
0500000US08107,8107,"Routt County, Colorado",36692,2071
0500000US08109,8109,"Saguache County, Colorado",21356,2646
0500000US08111,8111,"San Juan County, Colorado",29427,5040
0500000US08113,8113,"San Miguel County, Colorado",35701,2882
0500000US08115,8115,"Sedgwick County, Colorado",24247,2099
0500000US08117,8117,"Summit County, Colorado",36545,2550
