GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
0500000US01001,01001,"Autauga County, Alabama",141000,5337
0500000US01003,01003,"Baldwin County, Alabama",173400,3862
0500000US01005,01005,"Barbour County, Alabama",90300,7258
0500000US01007,01007,"Bibb County, Alabama",97200,11238
0500000US01009,01009,"Blount County, Alabama",124200,5196
0500000US01011,01011,"Bullock County, Alabama",68000,11252
0500000US01013,01013,"Butler County, Alabama",83000,6582
0500000US01015,01015,"Calhoun County, Alabama",107900,2948
0500000US01017,01017,"Chambers County, Alabama",83000,3818
0500000US01019,01019,"Cherokee County, Alabama",112500,6936
0500000US01021,01021,"Chilton County, Alabama",99100,5668
0500000US01023,01023,"Choctaw County, Alabama",64600,6191
0500000US01025,01025,"Clarke County, Alabama",85900,5097
0500000US01027,01027,"Clay County, Alabama",90000,11630
0500000US01029,01029,"Cleburne County, Alabama",108100,5120
0500000US01031,01031,"Coffee County, Alabama",142800,7413
0500000US01033,01033,"Colbert County, Alabama",102500,5271
0500000US01035,01035,"Conecuh County, Alabama",72300,3940
0500000US01037,01037,"Coosa County, Alabama",76500,9024
0500000US01039,01039,"Covington County, Alabama",93700,4416
0500000US01041,01041,"Crenshaw County, Alabama",77600,5498
0500000US01043,01043,"Cullman County, Alabama",118700,4782
0500000US01045,01045,"Dale County, Alabama",103800,4689
0500000US01047,01047,"Dallas County, Alabama",81000,4140
0500000US01049,01049,"DeKalb County, Alabama",99600,5142
0500000US01051,01051,"Elmore County, Alabama",152500,5238
0500000US01053,01053,"Escambia County, Alabama",93900,4537
0500000US01055,01055,"Etowah County, Alabama",101900,3604
0500000US01057,01057,"Fayette County, Alabama",76400,5613
0500000US01059,01059,"Franklin County, Alabama",87000,4692
0500000US01061,01061,"Geneva County, Alabama",81500,4359
0500000US01063,01063,"Greene County, Alabama",68100,4325
0500000US01065,01065,"Hale County, Alabama",89400,6613
0500000US01067,01067,"Henry County, Alabama",101800,10103
0500000US01069,01069,"Houston County, Alabama",124800,2469
0500000US01071,01071,"Jackson County, Alabama",103800,4708
0500000US01073,01073,"Jefferson County, Alabama",145700,1655
0500000US01075,01075,"Lamar County, Alabama",71100,4706
0500000US01077,01077,"Lauderdale County, Alabama",124100,4669
0500000US01079,01079,"Lawrence County, Alabama",97600,5580
0500000US01081,01081,"Lee County, Alabama",156400,3727
0500000US01083,01083,"Limestone County, Alabama",142500,4250
0500000US01085,01085,"Lowndes County, Alabama",68900,11476
0500000US01087,01087,"Macon County, Alabama",77000,3666
0500000US01089,01089,"Madison County, Alabama",171200,1945
0500000US01091,01091,"Marengo County, Alabama",87900,7212
0500000US01093,01093,"Marion County, Alabama",85500,7905
0500000US01095,01095,"Marshall County, Alabama",115700,3729
0500000US01097,01097,"Mobile County, Alabama",123500,1843
0500000US01099,01099,"Monroe County, Alabama",87700,6829
0500000US01101,01101,"Montgomery County, Alabama",122000,2204
0500000US01103,01103,"Morgan County, Alabama",124900,3830
0500000US01105,01105,"Perry County, Alabama",73700,11123
0500000US01107,01107,"Pickens County, Alabama",89100,6171
0500000US01109,01109,"Pike County, Alabama",102300,8092
0500000US01111,01111,"Randolph County, Alabama",85600,4513
0500000US01113,01113,"Russell County, Alabama",114000,5458
0500000US01115,01115,"St. Clair County, Alabama",142800,4290
0500000US01117,01117,"Shelby County, Alabama",195400,3566
0500000US01119,01119,"Sumter County, Alabama",73400,6099
0500000US01121,01121,"Talladega County, Alabama",94200,4350
0500000US01123,01123,"Tallapoosa County, Alabama",105200,6369
0500000US01125,01125,"Tuscaloosa County, Alabama",160000,2406
0500000US01127,01127,"Walker County, Alabama",84800,3224
0500000US01129,01129,"Washington County, Alabama",81100,6968
0500000US01131,01131,"Wilcox County, Alabama",81600,7267
0500000US01133,01133,"Winston County, Alabama",77700,5144
0500000US02013,02013,"Aleutians East Borough, Alaska",124500,8890
0500000US02016,02016,"Aleutians West Census Area, Alaska",211400,41515
0500000US02020,02020,"Anchorage Municipality, Alaska",298000,2986
0500000US02050,02050,"Bethel Census Area, Alaska",151400,20597
0500000US02060,02060,"Bristol Bay Borough, Alaska",199000,21360
0500000US02068,02068,"Denali Borough, Alaska",228600,24335
0500000US02070,02070,"Dillingham Census Area, Alaska",196400,14872
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",224000,6721
0500000US02100,02100,"Haines Borough, Alaska",198400,31829
0500000US02105,02105,"Hoonah-Angoon Census Area, Alaska",235100,21953
0500000US02110,02110,"Juneau City and Borough, Alaska",329500,9501
0500000US02122,02122,"Kenai Peninsula Borough, Alaska",229200,5293
0500000US02130,02130,"Ketchikan Gateway Borough, Alaska",257100,7674
0500000US02150,02150,"Kodiak Island Borough, Alaska",266700,18410
0500000US02158,02158,"Kusilvak Census Area, Alaska",101300,6387
0500000US02164,02164,"Lake and Peninsula Borough, Alaska",143800,33646
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",230100,2938
0500000US02180,02180,"Nome Census Area, Alaska",138300,15602
0500000US02185,02185,"North Slope Borough, Alaska",154100,12553
0500000US02188,02188,"Northwest Arctic Borough, Alaska",146400,25004
0500000US02195,02195,"Petersburg Borough, Alaska",213400,11555
0500000US02198,02198,"Prince of Wales-Hyder Census Area, Alaska",171100,9645
0500000US02220,02220,"Sitka City and Borough, Alaska",341600,13696
0500000US02230,02230,"Skagway Municipality, Alaska",305700,20064
0500000US02240,02240,"Southeast Fairbanks Census Area, Alaska",201600,14487
0500000US02261,02261,"Valdez-Cordova Census Area, Alaska",227900,31615
0500000US02275,02275,"Wrangell City and Borough, Alaska",183300,20278
0500000US02282,02282,"Yakutat City and Borough, Alaska",165800,13143
0500000US02290,02290,"Yukon-Koyukuk Census Area, Alaska",90800,4660
0500000US04001,04001,"Apache County, Arizona",77900,3081
0500000US04003,04003,"Cochise County, Arizona",140700,3717
0500000US04005,04005,"Coconino County, Arizona",231300,7206
0500000US04007,04007,"Gila County, Arizona",139800,6862
0500000US04009,04009,"Graham County, Arizona",121400,7213
0500000US04011,04011,"Greenlee County, Arizona",81600,6784
0500000US04012,04012,"La Paz County, Arizona",71200,10628
0500000US04013,04013,"Maricopa County, Arizona",204900,1133
0500000US04015,04015,"Mohave County, Arizona",130000,4639
0500000US04017,04017,"Navajo County, Arizona",106100,5033
0500000US04019,04019,"Pima County, Arizona",160800,1039
0500000US04021,04021,"Pinal County, Arizona",142200,2317
0500000US04023,04023,"Santa Cruz County, Arizona",135200,7064
0500000US04025,04025,"Yavapai County, Arizona",199300,4695
0500000US04027,04027,"Yuma County, Arizona",113400,1792
0500000US05001,05001,"Arkansas County, Arkansas",77600,2963
0500000US05003,05003,"Ashley County, Arkansas",70900,4309
0500000US05005,05005,"Baxter County, Arkansas",123100,4725
0500000US05007,05007,"Benton County, Arkansas",155900,2373
0500000US05009,05009,"Boone County, Arkansas",114400,4864
0500000US05011,05011,"Bradley County, Arkansas",72500,5733
0500000US05013,05013,"Calhoun County, Arkansas",71800,8173
0500000US05015,05015,"Carroll County, Arkansas",118500,9388
0500000US05017,05017,"Chicot County, Arkansas",59600,4822
0500000US05019,05019,"Clark County, Arkansas",92700,4982
0500000US05021,05021,"Clay County, Arkansas",66700,4012
0500000US05023,05023,"Cleburne County, Arkansas",126100,6793
0500000US05025,05025,"Cleveland County, Arkansas",84000,4361
0500000US05027,05027,"Columbia County, Arkansas",77100,6058
0500000US05029,05029,"Conway County, Arkansas",100300,6873
0500000US05031,05031,"Craighead County, Arkansas",131700,3881
0500000US05033,05033,"Crawford County, Arkansas",109500,3609
0500000US05035,05035,"Crittenden County, Arkansas",102800,5579
0500000US05037,05037,"Cross County, Arkansas",83900,4205
0500000US05039,05039,"Dallas County, Arkansas",61000,12006
0500000US05041,05041,"Desha County, Arkansas",58800,5216
0500000US05043,05043,"Drew County, Arkansas",94200,7911
0500000US05045,05045,"Faulkner County, Arkansas",149900,3335
0500000US05047,05047,"Franklin County, Arkansas",94000,6384
0500000US05049,05049,"Fulton County, Arkansas",88500,12277
0500000US05051,05051,"Garland County, Arkansas",133700,4676
0500000US05053,05053,"Grant County, Arkansas",117800,7240
0500000US05055,05055,"Greene County, Arkansas",105300,4933
0500000US05057,05057,"Hempstead County, Arkansas",76300,4030
0500000US05059,05059,"Hot Spring County, Arkansas",85600,3990
0500000US05061,05061,"Howard County, Arkansas",90100,8125
0500000US05063,05063,"Independence County, Arkansas",99900,6726
0500000US05065,05065,"Izard County, Arkansas",77600,4080
0500000US05067,05067,"Jackson County, Arkansas",63600,4369
0500000US05069,05069,"Jefferson County, Arkansas",81900,3312
0500000US05071,05071,"Johnson County, Arkansas",90100,4466
0500000US05073,05073,"Lafayette County, Arkansas",63300,7000
0500000US05075,05075,"Lawrence County, Arkansas",69700,3128
0500000US05077,05077,"Lee County, Arkansas",64600,5158
0500000US05079,05079,"Lincoln County, Arkansas",65000,6610
0500000US05081,05081,"Little River County, Arkansas",73700,4401
0500000US05083,05083,"Logan County, Arkansas",87400,3592
0500000US05085,05085,"Lonoke County, Arkansas",131700,3808
0500000US05087,05087,"Madison County, Arkansas",100100,12314
0500000US05089,05089,"Marion County, Arkansas",109700,7306
0500000US05091,05091,"Miller County, Arkansas",99600,7178
0500000US05093,05093,"Mississippi County, Arkansas",80700,3206
0500000US05095,05095,"Monroe County, Arkansas",56400,6501
0500000US05097,05097,"Montgomery County, Arkansas",88200,10889
0500000US05099,05099,"Nevada County, Arkansas",65300,3928
0500000US05101,05101,"Newton County, Arkansas",84800,7345
0500000US05103,05103,"Ouachita County, Arkansas",66900,4764
0500000US05105,05105,"Perry County, Arkansas",84500,9985
0500000US05107,05107,"Phillips County, Arkansas",62900,5299
0500000US05109,05109,"Pike County, Arkansas",77300,5293
0500000US05111,05111,"Poinsett County, Arkansas",77900,4034
0500000US05113,05113,"Polk County, Arkansas",83900,5931
0500000US05115,05115,"Pope County, Arkansas",120900,4827
0500000US05117,05117,"Prairie County, Arkansas",67100,3129
0500000US05119,05119,"Pulaski County, Arkansas",144000,2540
0500000US05121,05121,"Randolph County, Arkansas",79000,5955
0500000US05123,05123,"St. Francis County, Arkansas",62700,5114
0500000US05125,05125,"Saline County, Arkansas",143900,3324
0500000US05127,05127,"Scott County, Arkansas",77700,8950
0500000US05129,05129,"Searcy County, Arkansas",82800,10455
0500000US05131,05131,"Sebastian County, Arkansas",114800,3068
0500000US05133,05133,"Sevier County, Arkansas",70400,4693
0500000US05135,05135,"Sharp County, Arkansas",76700,5129
0500000US05137,05137,"Stone County, Arkansas",104800,17533
0500000US05139,05139,"Union County, Arkansas",77800,5689
0500000US05141,05141,"Van Buren County, Arkansas",92000,7426
0500000US05143,05143,"Washington County, Arkansas",157400,2750
0500000US05145,05145,"White County, Arkansas",113500,4522
0500000US05147,05147,"Woodruff County, Arkansas",62700,4987
0500000US05149,05149,"Yell County, Arkansas",100100,8443
0500000US06001,06001,"Alameda County, California",593500,3316
0500000US06003,06003,"Alpine County, California",329500,39932
0500000US06005,06005,"Amador County, California",265900,10152
0500000US06007,06007,"Butte County, California",228500,3731
0500000US06009,06009,"Calaveras County, California",259000,10376
0500000US06011,06011,"Colusa County, California",205000,16374
0500000US06013,06013,"Contra Costa County, California",472900,3638
0500000US06015,06015,"Del Norte County, California",183600,13955
0500000US06017,06017,"El Dorado County, California",379200,5104
0500000US06019,06019,"Fresno County, California",204900,2389
0500000US06021,06021,"Glenn County, California",215800,14247
0500000US06023,06023,"Humboldt County, California",279000,4405
0500000US06025,06025,"Imperial County, California",159000,3067
0500000US06027,06027,"Inyo County, California",235500,21341
0500000US06029,06029,"Kern County, California",175600,2269
0500000US06031,06031,"Kings County, California",172000,3662
0500000US06033,06033,"Lake County, California",167300,6291
0500000US06035,06035,"Lassen County, California",174500,11424
0500000US06037,06037,"Los Angeles County, California",465000,1272
0500000US06039,06039,"Madera County, California",204800,7402
0500000US06041,06041,"Marin County, California",859400,9659
0500000US06043,06043,"Mariposa County, California",250800,11781
0500000US06045,06045,"Mendocino County, California",319100,8789
0500000US06047,06047,"Merced County, California",171800,3249
0500000US06049,06049,"Modoc County, California",144600,24596
0500000US06051,06051,"Mono County, California",286100,43444
0500000US06053,06053,"Monterey County, California",393300,4985
0500000US06055,06055,"Napa County, California",503100,12286
0500000US06057,06057,"Nevada County, California",355900,7561
0500000US06059,06059,"Orange County, California",584200,2317
0500000US06061,06061,"Placer County, California",380900,3179
0500000US06063,06063,"Plumas County, California",221300,11777
0500000US06065,06065,"Riverside County, California",276300,1808
0500000US06067,06067,"Sacramento County, California",271300,1756
0500000US06069,06069,"San Benito County, California",423100,12325
0500000US06071,06071,"San Bernardino County, California",256000,1951
0500000US06073,06073,"San Diego County, California",454600,1968
0500000US06075,06075,"San Francisco County, California",858800,9419
0500000US06077,06077,"San Joaquin County, California",246900,3410
0500000US06079,06079,"San Luis Obispo County, California",471800,7140
0500000US06081,06081,"San Mateo County, California",845300,6599
0500000US06083,06083,"Santa Barbara County, California",480000,11622
0500000US06085,06085,"Santa Clara County, California",752400,5433
0500000US06087,06087,"Santa Cruz County, California",615200,10272
0500000US06089,06089,"Shasta County, California",223500,3988
0500000US06091,06091,"Sierra County, California",170300,62826
0500000US06093,06093,"Siskiyou County, California",173100,4112
0500000US06095,06095,"Solano County, California",305900,4753
0500000US06097,06097,"Sonoma County, California",464700,4146
0500000US06099,06099,"Stanislaus County, California",216000,2921
0500000US06101,06101,"Sutter County, California",213100,5416
0500000US06103,06103,"Tehama County, California",178600,9681
0500000US06105,06105,"Trinity County, California",270100,18936
0500000US06107,06107,"Tulare County, California",169600,2344
0500000US06109,06109,"Tuolumne County, California",259800,10422
0500000US06111,06111,"Ventura County, California",481400,3706
0500000US06113,06113,"Yolo County, California",346200,6164
0500000US06115,06115,"Yuba County, California",190700,8878
0500000US08001,08001,"Adams County, Colorado",216700,2009
0500000US08003,08003,"Alamosa County, Colorado",141600,8320
0500000US08005,08005,"Arapahoe County, Colorado",266600,2246
0500000US08007,08007,"Archuleta County, Colorado",268400,15750
0500000US08009,08009,"Baca County, Colorado",69900,10878
0500000US08011,08011,"Bent County, Colorado",76800,8408
0500000US08013,08013,"Boulder County, Colorado",391000,5017
0500000US08014,08014,"Broomfield County, Colorado",328200,6760
0500000US08015,08015,"Chaffee County, Colorado",289900,15540
0500000US08017,08017,"Cheyenne County, Colorado",89200,18745
0500000US08019,08019,"Clear Creek County, Colorado",297000,17648
0500000US08021,08021,"Conejos County, Colorado",113800,8569
0500000US08023,08023,"Costilla County, Colorado",110800,8680
0500000US08025,08025,"Crowley County, Colorado",74200,13859
0500000US08027,08027,"Custer County, Colorado",230700,28158
0500000US08029,08029,"Delta County, Colorado",196200,9019
0500000US08031,08031,"Denver County, Colorado",292700,3153
0500000US08033,08033,"Dolores County, Colorado",115900,11236
0500000US08035,08035,"Douglas County, Colorado",376300,3134
0500000US08037,08037,"Eagle County, Colorado",438500,20113
0500000US08039,08039,"Elbert County, Colorado",353700,10702
0500000US08041,08041,"El Paso County, Colorado",227000,1957
0500000US08043,08043,"Fremont County, Colorado",159000,4526
0500000US08045,08045,"Garfield County, Colorado",299700,12171
0500000US08047,08047,"Gilpin County, Colorado",255000,33575
0500000US08049,08049,"Grand County, Colorado",297500,24610
0500000US08051,08051,"Gunnison County, Colorado",311700,27502
0500000US08053,08053,"Hinsdale County, Colorado",275400,21452
0500000US08055,08055,"Huerfano County, Colorado",153400,19705
0500000US08057,08057,"Jackson County, Colorado",170300,29613
0500000US08059,08059,"Jefferson County, Colorado",299100,1611
0500000US08061,08061,"Kiowa County, Colorado",82700,11333
0500000US08063,08063,"Kit Carson County, Colorado",123400,12932
0500000US08065,08065,"Lake County, Colorado",184200,25886
0500000US08067,08067,"La Plata County, Colorado",340500,6848
0500000US08069,08069,"Larimer County, Colorado",282500,3359
0500000US08071,08071,"Las Animas County, Colorado",145800,11650
0500000US08073,08073,"Lincoln County, Colorado",126400,19930
0500000US08075,08075,"Logan County, Colorado",137300,9488
0500000US08077,08077,"Mesa County, Colorado",201500,4493
0500000US08079,08079,"Mineral County, Colorado",277500,21622
0500000US08081,08081,"Moffat County, Colorado",170000,8944
0500000US08083,08083,"Montezuma County, Colorado",187700,9780
0500000US08085,08085,"Montrose County, Colorado",193300,5705
0500000US08087,08087,"Morgan County, Colorado",152800,6847
0500000US08089,08089,"Otero County, Colorado",92300,4825
0500000US08091,08091,"Ouray County, Colorado",399400,25749
0500000US08093,08093,"Park County, Colorado",251700,11523
0500000US08095,08095,"Phillips County, Colorado",138500,15761
0500000US08097,08097,"Pitkin County, Colorado",552900,125715
0500000US08099,08099,"Prowers County, Colorado",88100,9828
0500000US08101,08101,"Pueblo County, Colorado",142700,2679
0500000US08103,08103,"Rio Blanco County, Colorado",208400,19715
0500000US08105,08105,"Rio Grande County, Colorado",136400,15314
0500000US08107,08107,"Routt County, Colorado",424300,37870
0500000US08109,08109,"Saguache County, Colorado",146600,17759
0500000US08111,08111,"San Juan County, Colorado",224100,61045
0500000US08113,08113,"San Miguel County, Colorado",505600,62369
0500000US08115,08115,"Sedgwick County, Colorado",94700,11156
0500000US08117,08117,"Summit County, Colorado",496100,37997
0500000US08119,08119,"Teller County, Colorado",244300,9947
0500000US08121,08121,"Washington County, Colorado",118000,8897
0500000US08123,08123,"Weld County, Colorado",227100,3039
0500000US08125,08125,"Yuma County, Colorado",134900,11199
